	title	link	source	salary
137	WPF C# разработчик	https://hh.ru/vacancy/51197555?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
138	Senior Golang Developer	https://hh.ru/vacancy/51028889?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
139	Senior python developer (Feedback team)	https://hh.ru/vacancy/51628774?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
140	.NET Developer (Middle+ / Senior)	https://hh.ru/vacancy/51605222?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
141	.NET Developer (Middle+ / Senior)	https://hh.ru/vacancy/51626579?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
142	Аccountant	https://hh.ru/vacancy/51802192?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
143	Frontend Engineer (Angular)	https://hh.ru/vacancy/48252453?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
144	Node.js Engineer	https://hh.ru/vacancy/51539013?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
145	Senior/TL Java Developer	https://hh.ru/vacancy/51512971?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
146	DevOps Engineer	https://hh.ru/vacancy/50641448?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
147	Automation Test Engineer	https://hh.ru/vacancy/48653970?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
148	Middle/Senior Business Analyst (Services)	https://hh.ru/vacancy/51492454?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
149	Blockchain consultant	https://hh.ru/vacancy/51483497?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
